Name,30D_1,30D_2,30D_3,50D_1,50D_2,50D_3
BC332_17703_mrna,303.0,240.0,363.0,239.0,117.0,329.0
BC332_28231_mrna,11.0,14.0,24.0,155.0,222.0,162.0
BC332_03898_mrna,513.0,580.0,445.0,603.0,756.0,688.0
BC332_34930_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_19701_mrna,3.0,1.0,0.0,0.0,0.0,0.0
BC332_27536_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_05659_mrna,4.0,3.0,1.0,4.0,17.0,12.0
BC332_17997_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_22852_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_33823_mrna,0.0,0.0,0.0,3.92897,1.93871,0.0
BC332_23059_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_33842_mrna,407.0,392.0,333.0,488.0,1662.0,441.0
BC332_10682_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_05651_mrna,2463.0,1993.0,2441.0,2292.0,3070.0,2505.0
BC332_27975_mrna,474.0,436.0,401.0,376.0,388.0,487.0
